Juego inicializado - Nivel 1 (mapa 10x10) - 4 colectables
Sala inicial: 0

=== SETUP INICIAL ===
Posicion de la camara: -20.00, 1.00, 12.00
Centro de sala (y, x) 2D: 5, 3
Mouse Moved: Yaw -> -114.00, Pitch -> -0.25
Mouse Moved: Yaw -> -114.25, Pitch -> -0.25
Mouse Moved: Yaw -> -114.50, Pitch -> -0.25
Mouse Moved: Yaw -> -114.75, Pitch -> -0.25
Mouse Moved: Yaw -> -115.25, Pitch -> -0.25
Mouse Moved: Yaw -> -116.00, Pitch -> -0.25
Mouse Moved: Yaw -> -116.75, Pitch -> -0.25
Mouse Moved: Yaw -> -117.50, Pitch -> -0.25
Mouse Moved: Yaw -> -118.00, Pitch -> -0.25
Mouse Moved: Yaw -> -118.75, Pitch -> -0.25
Mouse Moved: Yaw -> -119.50, Pitch -> -0.50
Mouse Moved: Yaw -> -120.25, Pitch -> -0.50
Mouse Moved: Yaw -> -121.25, Pitch -> -0.50
Mouse Moved: Yaw -> -122.00, Pitch -> -0.75
Mouse Moved: Yaw -> -123.25, Pitch -> -1.00
Mouse Moved: Yaw -> -124.50, Pitch -> -1.00
Mouse Moved: Yaw -> -126.00, Pitch -> -1.00
Mouse Moved: Yaw -> -127.50, Pitch -> -1.00
Mouse Moved: Yaw -> -129.25, Pitch -> -1.25
Mouse Moved: Yaw -> -131.00, Pitch -> -1.50
Mouse Moved: Yaw -> -132.50, Pitch -> -1.50
Mouse Moved: Yaw -> -134.25, Pitch -> -1.75
Mouse Moved: Yaw -> -135.75, Pitch -> -1.75
Mouse Moved: Yaw -> -137.00, Pitch -> -2.00
Mouse Moved: Yaw -> -138.50, Pitch -> -2.00
Mouse Moved: Yaw -> -139.75, Pitch -> -2.25
Mouse Moved: Yaw -> -141.25, Pitch -> -2.25
Mouse Moved: Yaw -> -142.75, Pitch -> -2.50
Mouse Moved: Yaw -> -144.25, Pitch -> -2.50
Mouse Moved: Yaw -> -145.50, Pitch -> -2.75
Mouse Moved: Yaw -> -147.00, Pitch -> -2.75
